Año,Trimestre,Pareja," Pareja
(para asentamiento inmediato) ",Hijos,"Hijos
(para asentamiento inmediato)",Otros," Otros
(para asentamiento inmediato) ",Total
2018,T2,7,0,2,0,0,0,9
2018,T1,5,0,0,0,0,0,5
2017,T4,15,0,0,0,0,0,15
2017,T3,10,0,0,0,0,0,10
2017,T2,11,0,0,1,0,0,12
2017,T1,8,0,0,0,2,0,10
2016,T4,4,0,0,0,0,0,4
2016,T3,6,0,0,0,0,0,6
2016,T2,1,0,0,0,0,0,1
2016,T1,6,0,0,0,0,0,6
2015,T4,13,0,0,1,0,0,14
2015,T3,5,1,0,0,0,0,6
2015,T2,8,0,0,0,0,1,9
2015,T1,12,0,0,0,0,0,12
2014,T4,8,0,0,0,3,0,11
2014,T3,7,0,0,0,0,0,7
2014,T2,7,0,0,0,0,0,7
2014,T1,2,0,0,0,2,0,4
2013,T4,2,0,0,0,0,1,3
2013,T3,2,0,0,1,0,0,3
2013,T2,1,0,0,0,0,0,1
2013,T1,2,0,0,0,0,0,2
2012,T4,5,0,0,0,0,1,6
2012,T3,5,0,0,0,3,0,8
2012,T2,8,0,0,0,0,1,9
2012,T1,11,0,0,0,0,0,11
2011,T4,6,0,0,0,0,0,6
2011,T3,9,0,0,0,0,0,9
2011,T2,11,0,0,0,0,0,11
2011,T1,12,0,0,0,0,0,12
2010,T4,33,0,0,0,0,0,33
2010,T3,19,0,0,0,0,0,19
2010,T2,23,0,0,1,0,0,24
2010,T1,20,1,0,0,0,0,21
2009,T4,22,0,0,0,0,0,22
2009,T3,25,0,0,0,0,0,25
2009,T2,14,0,0,0,0,0,14
2009,T1,19,0,0,0,0,1,20
2008,T4,22,0,0,0,0,0,22
2008,T3,22,0,0,0,3,0,25
2008,T2,30,0,0,0,0,0,30
2008,T1,38,0,0,4,0,0,42
2007,T4,25,0,0,0,0,0,25
2007,T3,31,1,0,5,3,2,42
2007,T2,36,0,0,2,0,0,38
2007,T1,30,0,0,0,0,0,30
2006,T4,32,0,0,0,0,0,32
2006,T3,29,0,0,0,0,0,29
2006,T2,43,0,0,1,3,0,47
2006,T1,33,0,0,3,0,0,36
2005,T4,28,0,0,0,0,0,28
2005,T3,25,0,0,0,0,0,25
2005,T2,32,0,0,0,1,0,33
2005,T1,37,0,0,0,0,0,37
