Año,Trimestre,Solicitudes,Resueltas,Aprobadas,Denegadas,Retiradas,Caducadas
2018,T2,633,620,542,70,8,0
2018,T1,417,349,281,68,0,0
2017,T4,406,420,348,68,4,0
2017,T3,482,562,484,67,11,0
2017,T2,664,593,501,80,12,0
2017,T1,402,363,296,66,1,0
2016,T4,389,373,312,59,2,0
2016,T3,427,465,385,78,2,0
2016,T2,589,548,442,102,4,0
2016,T1,363,408,350,57,1,0
2015,T4,486,500,408,82,10,0
2015,T3,555,666,587,64,15,0
2015,T2,752,616,534,78,4,0
2015,T1,491,512,434,70,8,0
2014,T4,373,366,296,68,2,0
2014,T3,383,439,365,64,10,0
2014,T2,592,547,480,61,6,0
2014,T1,310,307,248,52,7,0
2013,T4,301,342,252,86,4,0
2013,T3,408,477,371,100,6,0
2013,T2,616,526,429,90,7,0
2013,T1,453,464,349,112,3,0
2012,T4,316,346,282,60,4,0
2012,T3,324,347,283,57,7,0
2012,T2,514,482,389,85,8,0
2012,T1,407,389,328,60,1,0
2011,T4,309,314,244,61,9,0
2011,T3,414,422,364,55,3,0
2011,T2,519,473,401,67,5,0
2011,T1,361,364,283,77,4,0
2010,T4,376,396,313,78,3,2
2010,T3,435,473,385,84,4,0
2010,T2,579,514,439,71,4,0
2010,T1,473,482,411,68,3,0
2009,T4,444,449,377,67,4,1
2009,T3,452,456,372,76,8,0
2009,T2,599,577,508,59,4,6
2009,T1,432,427,367,50,7,3
2008,T4,490,508,440,48,19,1
2008,T3,493,499,418,72,9,0
2008,T2,713,693,641,41,11,0
2008,T1,529,528,479,43,5,1
2007,T4,522,523,423,86,14,0
2007,T3,582,586,515,56,11,4
2007,T2,815,834,747,83,3,1
2007,T1,647,609,539,63,6,1
2006,T4,553,572,525,38,4,5
2006,T3,734,745,713,26,6,0
2006,T2,897,874,850,23,0,1
2006,T1,635,592,568,17,5,2
2005,T4,569,542,523,16,3,0
2005,T3,672,623,588,30,3,2
2005,T2,817,816,795,7,4,10
2005,T1,679,608,598,6,4,0
